#{"t_start": 1616761110.7713695, "env_id": "CartPole-v1"}
r,l,t
12.0,12,3.189588
9.0,9,3.190507
10.0,10,3.191228
20.0,20,3.192525
31.0,31,3.194617
13.0,13,3.195513
18.0,18,3.196705
21.0,21,3.19805
30.0,30,3.200153
14.0,14,3.201303
79.0,79,3.207355
14.0,14,3.20839
22.0,22,3.210211
27.0,27,3.212474
30.0,30,3.214995
16.0,16,3.216328
18.0,18,3.217959
33.0,33,3.220254
23.0,23,3.221964
31.0,31,3.224341
10.0,10,3.225461
50.0,50,3.229799
18.0,18,3.231209
30.0,30,3.233222
15.0,15,3.234346
48.0,48,3.237424
23.0,23,3.238991
24.0,24,3.24055
60.0,60,3.244737
24.0,24,3.246398
38.0,38,3.248989
12.0,12,3.249805
12.0,12,3.25073
11.0,11,3.251465
9.0,9,3.257294
17.0,17,3.259036
15.0,15,3.260694
20.0,20,3.262221
15.0,15,3.263403
31.0,31,3.265612
23.0,23,3.267381
44.0,44,3.270379
14.0,14,3.271368
25.0,25,3.273106
9.0,9,3.273904
12.0,12,3.27477
37.0,37,3.277708
17.0,17,3.278901
11.0,11,3.279838
12.0,12,3.2807
27.0,27,3.282427
20.0,20,3.283716
28.0,28,3.285699
45.0,45,3.288758
17.0,17,3.289942
16.0,16,3.291057
33.0,33,3.29341
16.0,16,3.294528
14.0,14,3.295525
13.0,13,3.296445
24.0,24,3.298216
19.0,19,3.299472
26.0,26,3.301123
34.0,34,3.303263
31.0,31,3.305405
20.0,20,3.306792
27.0,27,3.308661
14.0,14,3.309655
31.0,31,3.311865
32.0,32,3.314075
51.0,51,3.317584
34.0,34,3.320689
23.0,23,3.323094
28.0,28,3.325747
15.0,15,3.327214
13.0,13,3.328525
33.0,33,3.330939
19.0,19,3.34162
15.0,15,3.342651
36.0,36,3.344908
28.0,28,3.3468
22.0,22,3.348201
13.0,13,3.349087
36.0,36,3.351333
16.0,16,3.352493
16.0,16,3.353546
16.0,16,3.354589
18.0,18,3.355755
12.0,12,3.356677
21.0,21,3.358028
9.0,9,3.358647
16.0,16,3.359694
12.0,12,3.360796
64.0,64,3.366014
13.0,13,3.367104
15.0,15,3.3684
26.0,26,3.3706
23.0,23,3.372362
30.0,30,3.374469
14.0,14,3.375555
16.0,16,3.376939
13.0,13,3.37797
23.0,23,3.379679
21.0,21,3.381313
11.0,11,3.382334
23.0,23,3.384246
12.0,12,3.385317
27.0,27,3.387323
16.0,16,3.388777
31.0,31,3.391337
11.0,11,3.392314
17.0,17,3.393709
